,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Tulane,10,2,.833,7,1,.875,34.4,19.8,10.62,-0.38,18,,16,
Cincinnati,9,3,.750,6,2,.750,31.1,20.3,7.27,-1.57,,23,20,
UCF,9,3,.750,6,2,.750,34.9,21.3,8.21,-0.45,22,,17,
Houston,7,5,.583,5,3,.625,37.2,33.5,3.97,1.30,,24,24,
SMU,7,5,.583,5,3,.625,38.4,34.7,5.12,2.04,,,,
East Carolina,7,5,.583,4,4,.500,30.8,27.0,3.57,-0.10,,,,
Navy,4,7,.364,4,4,.500,22.4,24.7,-1.67,1.51,,,,
Memphis,6,6,.500,3,5,.375,35.1,27.3,3.74,-0.02,,,,
Tulsa,5,7,.417,3,5,.375,30.6,33.1,-3.97,-1.13,,,,
Temple,3,9,.250,1,7,.125,21.9,29.3,-7.45,-2.12,,,,
South Florida,1,11,.083,0,8,.000,28.0,41.2,-9.62,2.47,,,,
