,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Atlantic,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Clemson,10,2,.833,8,0,1.000,34.3,20.9,13.61,2.19,10,4,4,
Florida State,9,3,.750,5,3,.625,36.2,19.7,15.01,3.26,14,,14,
North Carolina State,8,4,.667,4,4,.500,25.3,19.4,7.59,3.34,,13,10,
Louisville,7,5,.583,4,4,.500,27.2,20.2,9.98,5.06,,,,
Syracuse,7,5,.583,4,4,.500,28.3,22.7,7.17,3.67,,,14,
Wake Forest,7,5,.583,3,5,.375,36.8,29.3,8.73,3.31,,22,10,
Boston College,3,9,.250,2,6,.250,17.8,30.3,-5.56,3.69,,,,
North Carolina,9,3,.750,6,2,.750,37.1,30.3,7.00,0.25,24,,13,
Duke,8,4,.667,5,3,.625,33.1,22.8,6.51,-2.07,,,,
Pitt,8,4,.667,5,3,.625,30.8,23.4,7.39,0.39,,17,17,
Georgia Tech,5,7,.417,4,4,.500,17.2,28.4,-2.97,4.86,,,,
Miami (FL),5,7,.417,3,5,.375,23.6,26.8,-2.80,0.79,,16,13,
Virginia,3,7,.300,1,6,.143,17.0,24.0,-5.56,1.74,,,,
Virginia Tech,3,8,.273,1,6,.143,19.3,24.7,-6.34,-0.52,,,,
