,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Michigan,12,0,1.000,9,0,1.000,39.8,12.7,21.03,1.36,2,8,2,
Ohio State,11,1,.917,8,1,.889,44.5,19.3,19.58,3.16,5,2,2,
Penn State,10,2,.833,7,2,.778,35.8,18.0,16.63,3.13,8,,8,
Maryland,7,5,.583,4,5,.444,29.2,24.1,6.10,2.76,,,,
Michigan State,5,7,.417,3,6,.333,24.4,27.4,0.73,5.23,,15,11,
Indiana,4,8,.333,2,7,.222,23.3,33.9,-3.02,5.07,,,,
Rutgers,4,8,.333,1,8,.111,17.4,29.8,-5.75,3.58,,,,
Purdue,8,4,.667,6,3,.667,28.6,23.1,5.07,1.90,,,,
Illinois,8,4,.667,5,4,.556,25.4,12.3,10.67,0.34,,,14,
Minnesota,8,4,.667,5,4,.556,28.3,13.3,7.85,-0.90,,,21,
Iowa,7,5,.583,5,4,.556,17.9,14.4,7.02,2.19,,,,
Wisconsin,6,6,.500,4,5,.444,26.5,20.5,3.78,2.11,,18,18,
Nebraska,4,8,.333,3,6,.333,22.6,27.6,-1.86,2.39,,,,
Northwestern,1,11,.083,1,8,.111,13.8,28.3,-7.56,4.60,,,,
