,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
USC,11,1,.917,8,1,.889,42.5,26.3,14.93,2.34,4,14,4,
Washington,10,2,.833,7,2,.778,40.8,26.3,11.17,-0.08,9,,9,
Oregon,9,3,.750,7,2,.778,39.7,27.4,13.84,3.84,15,11,6,
Utah,9,3,.750,7,2,.778,39.4,20.1,15.00,2.09,12,7,7,
Oregon State,9,3,.750,6,3,.667,32.4,21.4,11.68,2.52,16,,16,
UCLA,9,3,.750,6,3,.667,39.6,28.3,10.36,0.95,17,,9,
Washington State,7,5,.583,4,5,.444,27.8,22.4,5.82,2.49,,,,
Arizona,5,7,.417,3,6,.333,30.8,36.5,-0.80,3.78,,,,
California,4,8,.333,2,7,.222,23.9,27.8,-0.37,3.21,,,,
Arizona State,3,9,.250,2,7,.222,26.1,31.4,-4.34,2.91,,,,
Stanford,3,9,.250,1,8,.111,21.3,32.2,-2.76,6.07,,,,
Colorado,1,11,.083,1,8,.111,15.4,44.5,-11.52,8.48,,,,
