,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Georgia,12,0,1.000,8,0,1.000,38.3,11.3,23.77,4.02,1,3,1,
Tennessee,10,2,.833,6,2,.750,47.3,23.5,16.93,4.34,7,,2,
South Carolina,8,4,.667,4,4,.500,31.7,27.5,8.25,3.84,20,,20,
Kentucky,7,5,.583,3,5,.375,22.1,19.1,7.76,4.59,,20,7,
Florida,6,6,.500,3,5,.375,31.8,28.8,8.56,6.65,,,12,
Missouri,6,6,.500,3,5,.375,25.5,25.0,5.66,4.33,,,,
Vanderbilt,5,7,.417,2,6,.250,24.6,36.0,-0.98,5.27,,,,
Alabama,10,2,.833,6,2,.750,40.8,18.0,18.20,3.87,6,1,1,
LSU,9,3,.750,6,2,.750,32.5,21.5,12.75,4.75,11,,6,
Mississippi State,8,4,.667,4,4,.500,32.7,24.2,11.23,4.90,25,,16,
Ole Miss,8,4,.667,4,4,.500,34.2,24.2,9.58,3.50,,21,7,
Arkansas,6,6,.500,3,5,.375,30.7,28.8,5.49,5.15,,19,10,
Auburn,5,7,.417,2,6,.250,24.8,29.5,3.64,7.14,,,,
Texas A&M,5,7,.417,2,6,.250,22.8,21.2,3.30,3.22,,6,6,
