[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
9042441,CARINA,Icon Eagle Carina Pte Ltd,Icon Eagle Carina Pte Ltd,Icon Eagle Carina Pte Ltd,SIE,95639,246.8000031,42,19.5,Crude Oil Tanker
9042453,CORONA,Icon Eagle Corona Pte Ltd,Icon Eagle Corona Pte Ltd,Icon Eagle Corona Pte Ltd,SIE,95634,246.8000031,42,19.5,Crude Oil Tanker
9085364,DELOS,Delos I Ltd ENE,Aeolos Management SA,Andros Maritime Agencies Ltd,GRC,298816,332,58,31,Crude Oil Tanker
8112201,TAAWON 11,Cooperative des Petroles,Cooperative des Petroles,Cooperative des Petroles,EGY,1085,60.13000107,9.909999847,4.5,Crude Oil Tanker
8112213,TAAWON 12,Cooperative des Petroles,Cooperative des Petroles,Cooperative des Petroles,EGY,1084,60.13000107,9.909999847,4.5,Crude Oil Tanker
9001368,G. GLORY,Global Sea Maritime Corp,Syncro Shipping Co Ltd,Oriental Shipping & Investment,PAN,275914,324,56,29.39999962,Crude Oil Tanker
8209224,ANDER,Marine Tankers Services Ltd,Maritime Management-Miami,Maritime Management-Miami,BZE,730,47.27000046,9,3.349999905,Crude Oil Tanker
8124008,CAS,TRANSPETRO,TRANSPETRO,TRANSPETRO,SKN,91671,243.6999969,41.61000061,19.71999931,Crude Oil Tanker
8609644,JAWA,SCI,SCI,SCI,SIE,94512,237.4450073,38.00600052,20.89999962,Crude Oil Tanker
9001590,AFRICAN GAZELLE,Jacinta Shipping Corp,Jacinta Marine Corp,Jacinta Marine Corp,PAN,68623,226,32.20000076,19.60000038,Crude Oil Tanker
8124022,BROTA,Exim Inc,Exim Inc,Exim Inc,TZZ,91902,243.6999969,41.61000061,19.71999931,Crude Oil Tanker
8202020,GULF TIGER,Gulf Lion Shipping Inc,FAL Shipping Co Ltd,FAL Shipping Co Ltd,LIB,60962,219.9499969,35.20999908,18.21999931,Crude Oil Tanker
8616518,STAR OLBA,SBM Production Contractors Inc,SBM Production Contractors Inc,SBM Production Contractors Inc,CMR,275975,322,56,29.5,Crude Oil Tanker
9001605,ARCTIC,Azucar Enterprises Corp,Sahara Mina LLC,Sahara Mina LLC,TOG,68623,226,32.20000076,19.60000038,Crude Oil Tanker
8303460,COSMIC 3,Bintang Nusantara,Aeromic Shipping S Pte Ltd,Aeromic Shipping S Pte Ltd,IDA,3276,88.31999969,13.39999962,5.449999809,Crude Oil Tanker
8715479,APEX,Ruth Enterprises Inc,Ruth Enterprises Inc,Ruth Enterprises Inc,SKN,87241,233.3000031,42.59999847,19.81999969,Crude Oil Tanker
9002130,MERU,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,SKN,95618,246.8399963,42,19.5,Crude Oil Tanker
8900385,NAVIGATOR A,Navigator A Marine Ltd,Ancora Investment Trust Inc,Ancora Investment Trust Inc,MTA,94225,233.3000031,42.61999893,19.79999924,Crude Oil Tanker
8900397,AMURA,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,SKN,94225,233.2799988,42.59999847,19.79999924,Crude Oil Tanker
9002207,OCEAN EMERALD,Xin Chun Shipping Pte Ltd,Daichi Shipmanagement Pte Ltd,Daichi Shipmanagement Pte Ltd,CKI,152680,279.1000061,46.29999924,23.53000069,Crude Oil Tanker
9002611,HOPE,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,SKN,299700,343.7099915,56.40000153,30.40999985,Crude Oil Tanker
8907333,NEW FORTUNER,New Fortuner Shipping Inc,Associated Maritime Co HK Ltd,Associated Maritime Co HK Ltd,LIB,146591,277,44.40000153,24.10000038,Crude Oil Tanker
8312497,NEW REGENT,Mega Glory Holdings Ltd,Ocean Grow Intl Shipmgmt,Ocean Grow Intl Shipmgmt,PAN,4999,103.5100021,15,7.800000191,Crude Oil Tanker
8915794,NATALY,Murmansk Shipping Co,Murmansk Shipping Co,Murmansk Shipping Co,RUS,143386,274.2999878,43.20000076,23.79999924,Crude Oil Tanker
9002635,PEACE,Iliana Shipping Ltd,Global Marketing Systems JLT,Global Marketing Systems JLT,SKN,299700,343.7099915,56.40000153,30.40999985,Crude Oil Tanker
8915809,DEZ,Autumn Harvest Maritime Co,Autumn Harvest Maritime Co,Autumn Harvest Maritime Co,SKN,143386,274.2999878,43.20000076,23.79999924,Crude Oil Tanker
9004528,ATHENS WARRIOR,Top Victory Shipping Ltd,Polembros Shipping Ltd,Polembros Shipping Ltd,LIB,306430,331.4580078,58,31.40999985,Crude Oil Tanker
8325561,SIL,Liberty Resources Inc,Green Ocean Ship Management,Green Ocean Ship Management,SKN,82424,210.5,48.00999832,18.01000023,Crude Oil Tanker
9004530,SPLENDOR,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,CMR,306474,331.4500122,58,31.39999962,Crude Oil Tanker
8404329,ANDES III,MARDCOM,MARDCOM,MARDCOM,ECU,3436,91.12000275,13.21000004,6.710000038,Crude Oil Tanker
9005261,TULA,Atlantic Bluewater Services,Sterling Oil Resources Ltd,Sterling Oil Resources Ltd,CMR,284890,322,56,31.39999962,Crude Oil Tanker
8405311,YU JONG 1,Korea Yujong Shipping Co Ltd,Korea Yujong Shipping Co Ltd,Korea Yujong Shipping Co Ltd,KRN,1665,70.30999756,11.02000046,5.110000134,Crude Oil Tanker
9006617,NEW VENTURE,New Dynasty Shipping Inc,Associated Maritime Co HK Ltd,Associated Maritime Co HK Ltd,LIB,291640,328.0450134,57,30.79999924,Crude Oil Tanker
9088938,VIVEKA,Blue Round Shipping Corp,Maritec NV,Maritec NV,PAN,9776,121,18.5,9.199999809,Crude Oil Tanker
9171462,SOL,Camellia Shipping Co Ltd,NITC,NITC,UNK,159758,274,48,23.20000076,Crude Oil Tanker
9172040,SABITI,Lantana Shipping Co Ltd,NITC,NITC,UNK,159681,274,48,23.20000076,Crude Oil Tanker
8917821,JELITA BANGSA,Trada Shipping,Trada Shipping,Trada Shipping,IDA,96687,232.0420074,42,20.29999924,Crude Oil Tanker
8919271,NEW VALOR,New Valor Shipping Inc,Associated Maritime Co HK Ltd,Associated Maritime Co HK Ltd,LIB,284631,328.0450134,57,30.79999924,Crude Oil Tanker
9113977,PROF JOHN EVANS ATTA,TEN Ghana MV25 BV,Modec Offshore Production,Modec Offshore Production,BAH,300955,340,56,31.79999924,Crude Oil Tanker
9008744,AURIGA,Icon Eagle Auriga Pte Ltd,Riya Shipping Corp Pte Ltd,Riya Shipping Corp Pte Ltd,TZZ,102352,241.4250031,42,21,Crude Oil Tanker
9176993,FRONT COMMODORE,Front Commodore GmbH & Co KG,Frontline Management AS,Frontline Ltd,LIB,298620,332.9500122,60,29.54999924,Crude Oil Tanker
9177143,DIAMOND JASMINE,NKD Maritime Ltd,NKD Maritime Ltd,NKD Maritime Ltd,PAN,281050,330,60,28.79999924,Crude Oil Tanker
9018464,GVENOUR,Epic Trading Co,Fides Ship Management LLC,Fides Ship Management LLC,PAN,149686,269,46,23.94400024,Crude Oil Tanker
9011246,CARIBO,Hermis Shipping SA,Sambouk Shipping FZC,Sambouk Shipping FZC,MGL,290927,332.8699951,58,31.5,Crude Oil Tanker
9102277,SAFANIYAH,BAHRI,Mideast Ship Management Ltd,Mideast Ship Management Ltd,BAH,300361,340,56,31.79999924,Crude Oil Tanker
9104885,CHEVAL BLEU,Al Habibah International Co,Red Sea Marine Services,Red Sea Marine Services,DMA,149745,269,46,23.89999962,Crude Oil Tanker
9019834,DA QING 93,China Shipping Tanker Co Ltd,China Shipping Tanker Co Ltd,China Shipping Tanker Co Ltd,CHR,68635,227.3399963,32.20000076,19.60000038,Crude Oil Tanker
9183934,FELICITY,Jupiter Seaways Shipping,Sambouk Shipping FZC,Sambouk Shipping FZC,MGL,299990,330,60,28.89999962,Crude Oil Tanker
9012915,RANI,Rosesea Corp,Maran Tankers Management Inc,Maran Tankers Management Inc,GRC,301686,332.0450134,58,31.45000076,Crude Oil Tanker
9019846,DA QING 94,China Shipping Tanker Co Ltd,China Shipping Tanker Co Ltd,China Shipping Tanker Co Ltd,CHR,68593,227.3399963,32.20000076,19.60000038,Crude Oil Tanker
9107655,ATLANTIC,Monsoon Shipping Ltd,Sambouk Shipping FZC,Sambouk Shipping FZC,MGL,301653,332.0450134,58,31.39999962,Crude Oil Tanker
9196618,OVERSEAS SAKURA,Sakura Transport Corp,Tankers UK Agencies Ltd,Tankers UK Agencies Ltd,MAI,298641,332.9500122,60,29.54999924,Crude Oil Tanker
9197870,SHINYO KANNIKA,Shinyo Kannika Ltd,Univan Ship Management Ltd,Univan Ship Management Ltd,HKG,281395,330,60,28.89999962,Crude Oil Tanker
9013397,DING HE,China Shipping Tanker Co Ltd,Shanghai Yuhai Shipping Co,China Shipping Tanker Co Ltd,CHR,63263,228.5,32.20000076,19,Crude Oil Tanker
9233272,FAMENNE,Euronav NV,Euronav NV,Tankers UK Agencies Ltd,FIS,298412,332.9500122,60,29.54999924,Crude Oil Tanker
9013402,HUAI HE,China Shipping Dev Guangzhou,China Shipping Tanker Co Ltd,China Shipping Tanker Co Ltd,CHR,63263,228.5,32.20000076,19,Crude Oil Tanker
9158147,CAP JEAN,Euronav NV,Euronav NV,Euronav NV,GRC,146643,274.0610046,47.79999924,22.79999924,Crude Oil Tanker
9014418,NEW VICTORY,Rptd Sold China,Rptd Sold China,Rptd Sold China,LIB,291613,328.0450134,57,30.79999924,Crude Oil Tanker
9034547,MAHARSHI PARASHURAM,SCI,SCI,SCI,IND,93322,237.6000061,38,20.89999962,Crude Oil Tanker
9035010,ALTAIR VOYAGER,Dido Steel Corp SA,Dido Steel Corp SA,Dido Steel Corp SA,BAH,135829,258.8999939,48.29999924,25.15500069,Crude Oil Tanker
9014470,NEW VITALITY,Honeyberry Co Inc,Associated Maritime Co HK Ltd,Associated Maritime Co HK Ltd,LIB,284569,330.2579956,56,30.64999962,Crude Oil Tanker
9038737,SPIRIT,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,CMR,106266,243.8000031,42,20.60000038,Crude Oil Tanker
9153525,DEWI MAESWARA,Mahameru Kencana Abadi,Mahameru Kencana Abadi,PERTAMINA PERSERO PT,IDA,300149,332.9400024,60,29.54999924,Crude Oil Tanker
9015060,ASTON,Marfrandt SA,Innovative Ukraine SC,Innovative Ukraine SC,CMR,94225,233.2599945,42.60499954,19.83499908,Crude Oil Tanker
9153537,VICTORY,Liberty Resources Inc,Liberty Resources Inc,Liberty Resources Inc,SKN,300155,332.9400024,60,29.54999924,Crude Oil Tanker
9039597,MIRE,Eurofinance Services Inc,Eurotankers Inc,Eurotankers Inc,LIB,96347,230.875,42,20.29999924,Crude Oil Tanker
9180217,AURORA,Omni Offshore Term Nong Yao,Omni Offshore Terminals Ops,Omni Offshore Terminals Ops,SNG,104943,243.5559998,42,21.29999924,Crude Oil Tanker
9181649,BW ULAN,Folkway,BW Maritime Pte Ltd,BW Maritime Pte Ltd,PAN,299325,332,58,31,Crude Oil Tanker
9235244,ASTRO CHORUS,Chorus ENE,Maran Tankers Management Inc,Maran Tankers Management Inc,GRC,305704,332,58,31,Crude Oil Tanker
